date,days_ago,wpm,acc,rawWpm,consistency
2023-01-15,999,76.89,100.0,76.89,64.65
2023-01-16,998,81.67,100.0,81.67,79.0
2023-01-17,997,66.03,95.08,66.03,65.34
2023-01-18,996,93.18,100.0,93.18,75.54
2023-01-19,995,94.22,97.92,94.22,65.4
2023-01-20,994,83.61,98.08,83.61,74.49
2023-01-21,993,81.68,96.23,81.68,75.04
2023-01-22,992,79.59,98.08,79.59,76.93
2023-01-23,991,69.02,91.94,69.02,54.02
2023-01-24,990,93.35,100.0,93.35,66.03
2023-01-25,989,116.34,100.0,116.34,89.84
2023-01-26,988,97.25,100.0,97.25,63.39
2023-01-27,987,85.66,100.0,85.66,82.52
2023-01-28,986,78.66,96.15,78.66,74.66
2023-01-29,985,79.73,97.87,79.73,79.97
2023-01-30,984,83.52,96.43,83.52,69.61
2023-01-31,983,89.82,97.96,89.82,55.52
2023-02-01,982,95.4,93.48,107.04,59.01
2023-02-02,981,81.22,96.36,81.22,67.4
2023-02-03,980,89.89,100.0,89.89,73.65
2023-02-04,979,93.06,100.0,93.06,75.32
2023-02-05,978,86.54,97.62,86.54,76.77
2023-02-06,977,91.97,98.04,91.97,74.6
2023-02-07,976,72.36,100.0,72.36,60.12
2023-02-08,975,91.98,100.0,91.98,61.71
2023-02-09,974,74.62,87.5,85.74,61.16
2023-02-10,973,71.55,98.04,71.55,54.49
2023-02-11,972,86.11,98.04,86.11,71.57
2023-02-12,971,76.92,100.0,76.92,58.65
2023-02-13,970,67.45,94.44,74.34,71.4
2023-02-14,969,65.81,97.83,65.81,63.76
2023-02-15,968,61.34,94.92,68.42,57.02
2023-02-16,967,59.24,98.08,59.24,57.64
2023-02-17,966,64.27,94.55,64.27,62.93
2023-02-18,965,80.99,98.04,80.99,69.69
2023-02-19,964,89.42,100.0,89.42,62.62
2023-02-20,963,81.9,100.0,81.9,80.12
2023-02-21,962,87.75,100.0,87.75,80.97
2023-02-22,961,62.59,100.0,62.59,66.99
2023-02-23,960,89.49,100.0,89.49,85.09
2023-02-24,959,46.45,98.08,46.45,13.65
2023-02-25,958,80.35,100.0,80.35,86.79
